timestamp,Delay,Detector,LC,MM,MMInterp,MPC,MultiViewTracker,Planner,TL,TS,Detector_D,Detector_P,Entron,LC_D,LC_P,MAIN,MMInterp_D,MMInterp_P,MM_D,MM_P,MPC_D,MPC_P,MultiViewTracker_D,MultiViewTracker_P,Planner_D,Planner_P,TL_D,TL_P,TS_D,TS_P
1752570365.677263,455.000000,123.074150,81.177780,163.669601,17.402836,18.686476,23.182932,177.841507,11.455038,8.641407,8.380945,13.744607,47.338978,7.888657,12.318642,48.204437,7.941648,57.461899,7.752836,13.147280,8.160983,53.514637,8.375286,43.135181,0.000000,27.762466,8.676207,87.297836,8.845162,115.721901
1752570365.726389,457.000000,121.921211,81.177780,164.031525,17.310478,18.686476,23.182932,177.734268,11.455038,8.641407,8.380945,13.965921,48.685959,7.888657,12.318642,48.176998,7.943188,57.768478,7.752625,13.155087,8.160983,53.514637,8.375286,43.135181,0.000000,27.840019,8.676207,87.297836,8.845162,115.721901
1752570365.767891,458.000000,121.658371,81.177780,164.112976,17.310478,19.135527,22.861433,179.070648,8.492274,8.641407,8.412064,13.965921,48.991825,7.888657,12.318642,48.174892,7.943188,57.768478,7.752625,13.155087,8.151703,52.258820,8.375286,43.135181,0.000000,27.840019,8.764506,117.754082,8.845162,115.721901
1752570365.806411,460.000000,121.658371,81.177780,164.086563,17.310478,19.135527,22.861433,178.802567,8.492274,8.641407,8.412064,13.965921,48.803719,7.888657,12.318642,48.051746,7.943188,57.768478,7.752625,13.155087,8.151703,52.258820,8.455327,43.741791,0.000000,27.840019,8.764506,117.754082,8.845162,115.721901
1752570365.901770,461.000000,119.633293,81.603790,166.677032,17.094255,19.135527,22.861433,178.871948,8.492274,8.714804,8.412064,14.246486,49.725060,7.738782,12.254333,47.980579,7.900319,58.499184,7.665933,13.039460,8.151703,52.258820,8.455327,43.741791,0.000000,27.416437,8.764506,117.754082,8.815701,114.747276
1752570365.941736,463.000000,120.959633,82.477188,166.677032,17.094255,19.348866,22.969587,179.375580,8.492274,8.714804,8.387688,14.246486,47.564564,7.738782,12.254333,47.648190,7.900319,58.499184,7.665933,13.039460,8.072268,51.682617,8.408634,43.535828,0.000000,27.416437,8.764506,117.754082,8.815701,114.747276
1752570365.989764,465.000000,120.959633,82.477188,167.896606,17.094255,19.348866,22.969587,179.452545,8.520066,8.748343,8.387688,14.246486,46.965687,7.609107,12.124564,47.624641,7.900319,58.499184,7.665933,13.039460,8.072268,51.682617,8.408634,43.535828,0.000000,27.416437,8.764506,117.754082,8.815701,114.747276
1752570366.035403,466.000000,121.831963,82.477188,169.196411,17.644306,19.348866,22.969587,179.719406,8.520066,8.748343,8.387688,14.076635,44.556671,7.609107,12.124564,47.527645,7.481477,56.675507,7.440846,12.849631,8.072268,51.682617,8.408634,43.535828,0.000000,27.314409,8.663483,117.369980,8.786932,114.307350
1752570366.070476,469.000000,122.391579,82.477188,168.610504,17.644306,19.389214,23.126354,179.665359,6.234888,8.760165,8.298633,14.076635,48.776237,7.609107,12.124564,47.468472,7.481477,56.675507,7.440846,12.849631,8.040570,51.575066,8.307804,43.240711,0.000000,27.314409,8.878051,160.387817,8.807823,114.153099
1752570366.120987,471.000000,121.178925,82.067581,170.070297,17.644306,19.389214,23.126354,179.682755,6.234888,8.760165,8.298633,14.321098,44.470371,7.472319,12.185080,47.456856,7.481477,56.675507,7.440846,12.849631,8.040570,51.575066,8.307804,43.240711,0.000000,27.314409,8.878051,160.387817,8.807823,114.153099
1752570366.159964,472.000000,121.188858,82.067581,170.653000,17.644306,19.389214,23.126354,179.986862,6.234888,8.760165,8.298633,14.321098,40.674595,7.472319,12.185080,47.430088,7.481477,56.675507,7.440846,12.849631,8.040570,51.575066,8.307804,43.240711,0.000000,27.082626,8.878051,160.387817,8.807823,114.153099
1752570366.193609,475.000000,121.188858,82.067581,170.788208,17.644306,19.389214,23.126354,180.309631,6.234888,8.760165,8.298633,14.321098,41.282726,7.472319,12.185080,47.511463,7.481477,56.675507,7.346019,13.009273,8.040570,51.575066,8.307804,43.240711,0.000000,27.082626,8.878051,160.387817,8.807823,114.153099
1752570366.240761,477.000000,123.035683,82.067581,171.021851,18.193035,19.648977,23.126354,179.822113,4.488835,8.860102,8.271801,14.107947,39.711224,7.472319,12.185080,47.619827,7.380744,54.966091,7.346019,13.009273,7.913019,50.893234,8.307804,43.240711,0.000000,27.082626,8.788457,222.774948,8.777451,112.865524
