time_stamp,x_acc,y_acc,z_acc,x_acc_bias,y_acc_bias,z_acc_bias,pitch,roll,yaw,pitch_std,roll_std,yaw_std,x_gyro,y_gyro,z_gyro,x_gyro_bias,y_gyro_bias,z_gyro_bias,x_mag,y_mag,z_mag,sensor_time_counter,operation_mode,linear_acceleration_enabled,turn_switch_enabled
1752570362.472682,0.448009,0.425971,-9.835361,0.000000,0.000000,0.000000,-0.247738,-1.517914,-3.200452,0.000000,0.000000,0.000000,-0.913986,0.270101,1.450479,0.169898,0.039223,-0.153515,-1.014988,0.161810,-4.332088,5947770,3,1,0
1752570362.482682,0.533443,0.392810,-9.738555,0.000000,0.000000,0.000000,-0.243849,-1.528664,-3.184668,0.000000,0.000000,0.000000,-0.916995,0.455681,1.428728,0.169898,0.039223,-0.153515,-0.936535,0.149551,-4.329636,5947780,3,1,0
1752570362.492682,0.627228,0.174655,-9.666702,0.000000,0.000000,0.000000,-0.239281,-1.539795,-3.169262,0.000000,0.000000,0.000000,-0.948249,0.400489,1.356769,0.169898,0.039223,-0.153515,-0.858082,0.154455,-4.327184,5947790,3,1,0
1752570362.502682,0.674349,0.077138,-9.538553,0.000000,0.000000,0.000000,-0.236018,-1.551137,-3.154217,0.000000,0.000000,0.000000,-0.955942,0.240815,1.427840,0.169898,0.039223,-0.153515,-0.786984,0.161810,-4.329636,5947800,3,1,0
1752570362.512682,0.636314,0.284185,-9.372403,0.000000,0.000000,0.000000,-0.234378,-1.562271,-3.137444,0.000000,0.000000,0.000000,-0.914331,0.090467,1.610197,0.169893,0.039214,-0.153516,-0.735499,0.164261,-4.336991,5947810,3,1,0
1752570362.522682,0.569905,0.585780,-9.253997,0.000000,0.000000,0.000000,-0.233565,-1.572813,-3.119281,0.000000,0.000000,0.000000,-0.835664,0.048486,1.637931,0.169893,0.039214,-0.153516,-0.713434,0.161810,-4.346797,5947820,3,1,0
1752570362.532682,0.614328,0.566848,-9.265208,0.000000,0.000000,0.000000,-0.232720,-1.581940,-3.101799,0.000000,0.000000,0.000000,-0.615464,0.119284,1.547294,0.169893,0.039214,-0.153516,-0.706079,0.161810,-4.354153,5947830,3,1,0
1752570362.542682,0.667283,0.199832,-9.348883,0.000000,0.000000,0.000000,-0.231284,-1.588828,-3.085256,0.000000,0.000000,0.000000,-0.442763,0.093879,1.480665,0.169893,0.039214,-0.153516,-0.706079,0.196133,-4.368863,5947840,3,1,0
1752570362.552682,0.698513,0.032759,-9.303158,0.000000,0.000000,0.000000,-0.231211,-1.594488,-3.068775,0.000000,0.000000,0.000000,-0.336846,-0.123124,1.537989,0.169893,0.039214,-0.153516,-0.757564,0.274586,-4.386024,5947850,3,1,0
1752570362.562682,0.702135,0.271937,-9.144785,0.000000,0.000000,0.000000,-0.233863,-1.599194,-3.051342,0.000000,0.000000,0.000000,-0.248594,-0.428626,1.597422,0.169893,0.039214,-0.153516,-0.882599,0.357943,-4.405638,5947860,3,1,0
1752570362.572682,0.644585,0.437423,-9.121598,0.000000,0.000000,0.000000,-0.239184,-1.602767,-3.033774,0.000000,0.000000,0.000000,-0.103765,-0.587143,1.575773,0.169893,0.039214,-0.153516,-1.051763,0.411879,-4.425251,5947870,3,1,0
1752570362.582682,0.640202,0.347236,-9.290777,0.000000,0.000000,0.000000,-0.244758,-1.604890,-3.016375,0.000000,0.000000,0.000000,0.036087,-0.521752,1.557804,0.169893,0.039214,-0.153516,-1.196411,0.402073,-4.435058,5947880,3,1,0
1752570362.592682,0.703550,0.112224,-9.386864,0.000000,0.000000,0.000000,-0.249865,-1.605685,-2.999430,0.000000,0.000000,0.000000,0.125685,-0.591810,1.485214,0.169893,0.039214,-0.153516,-1.277316,0.360394,-4.437509,5947890,3,1,0
1752570362.602682,0.667540,0.106954,-9.457273,0.000000,0.000000,0.000000,-0.257080,-1.606188,-2.982993,0.000000,0.000000,0.000000,0.128400,-0.891634,1.500931,0.169893,0.039214,-0.153516,-1.296929,0.311361,-4.437509,5947900,3,1,0
1752570362.612682,0.562656,0.378705,-9.488299,0.000000,0.000000,0.000000,-0.267372,-1.606505,-2.965457,0.000000,0.000000,0.000000,0.178424,-1.140256,1.645134,0.169893,0.039205,-0.153517,-1.269961,0.262328,-4.437509,5947910,3,1,0
1752570362.622682,0.411689,0.474368,-9.459980,0.000000,0.000000,0.000000,-0.278837,-1.605987,-2.946722,0.000000,0.000000,0.000000,0.291728,-1.124898,1.613163,0.169893,0.039205,-0.153517,-1.216025,0.218198,-4.437509,5947920,3,1,0
1752570362.632682,0.398738,0.264884,-9.559861,0.000000,0.000000,0.000000,-0.288714,-1.604310,-2.929804,0.000000,0.000000,0.000000,0.374318,-0.839861,1.427249,0.169893,0.039205,-0.153517,-1.152281,0.186326,-4.437509,5947930,3,1,0
1752570362.642682,0.575396,0.204551,-9.737003,0.000000,0.000000,0.000000,-0.295633,-1.602172,-2.914171,0.000000,0.000000,0.000000,0.427376,-0.605136,1.387361,0.169893,0.039205,-0.153517,-1.071377,0.164261,-4.435058,5947940,3,1,0
1752570362.652682,0.713311,0.309464,-9.837062,0.000000,0.000000,0.000000,-0.301658,-1.598939,-2.898405,0.000000,0.000000,0.000000,0.607328,-0.692906,1.433036,0.169893,0.039205,-0.153517,-0.988020,0.137293,-4.435058,5947950,3,1,0
1752570362.662682,0.551405,0.294089,-9.934582,0.000000,0.000000,0.000000,-0.309717,-1.593650,-2.881922,0.000000,0.000000,0.000000,0.752136,-0.910388,1.527910,0.169893,0.039205,-0.153517,-0.931632,0.105421,-4.435058,5947960,3,1,0
1752570362.672682,0.285844,0.136261,-10.078811,0.000000,0.000000,0.000000,-0.318963,-1.588136,-2.864363,0.000000,0.000000,0.000000,0.695946,-0.839458,1.573401,0.169893,0.039205,-0.153517,-0.916922,0.073550,-4.435058,5947970,3,1,0
1752570362.682682,0.191372,0.082627,-10.153353,0.000000,0.000000,0.000000,-0.325130,-1.582942,-2.847502,0.000000,0.000000,0.000000,0.727249,-0.333145,1.435069,0.169893,0.039205,-0.153517,-0.926728,0.049033,-4.432606,5947980,3,1,0
1752570362.692682,0.365582,0.166816,-10.150658,0.000000,0.000000,0.000000,-0.325441,-1.577386,-2.832332,0.000000,0.000000,0.000000,0.695260,0.216452,1.292385,0.169893,0.039205,-0.153517,-0.941438,0.046582,-4.430154,5947990,3,1,0
1752570362.702682,0.557361,0.120299,-10.176193,0.000000,0.000000,0.000000,-0.321879,-1.572897,-2.818708,0.000000,0.000000,0.000000,0.561457,0.347367,1.163060,0.169893,0.039205,-0.153517,-0.983117,0.063743,-4.432606,5948000,3,1,0
1752570362.712682,0.518939,0.046922,-10.223795,0.000000,0.000000,0.000000,-0.319688,-1.569488,-2.805466,0.000000,0.000000,0.000000,0.499288,0.083204,1.269406,0.169895,0.039195,-0.153518,-1.032150,0.088260,-4.439961,5948010,3,1,0
1752570362.722682,0.347337,0.191310,-10.098213,0.000000,0.000000,0.000000,-0.319361,-1.566278,-2.789760,0.000000,0.000000,0.000000,0.519368,0.027370,1.507674,0.169895,0.039195,-0.153518,-1.125313,0.102970,-4.447316,5948020,3,1,0
1752570362.732682,0.177744,0.368664,-9.833850,0.000000,0.000000,0.000000,-0.317710,-1.562785,-2.772859,0.000000,0.000000,0.000000,0.491422,0.402290,1.463842,0.169895,0.039195,-0.153518,-1.245445,0.132390,-4.447316,5948030,3,1,0
1752570362.742682,0.317877,0.237879,-9.738823,0.000000,0.000000,0.000000,-0.310562,-1.560560,-2.758502,0.000000,0.000000,0.000000,0.302613,1.009683,1.129512,0.169895,0.039195,-0.153518,-1.311640,0.149551,-4.437509,5948040,3,1,0
1752570362.752682,0.654823,-0.034608,-9.912382,0.000000,0.000000,0.000000,-0.298614,-1.560041,-2.746904,0.000000,0.000000,0.000000,0.184949,1.248127,1.076694,0.169895,0.039195,-0.153518,-1.309188,0.161810,-4.430154,5948050,3,1,0
1752570362.762682,0.823223,-0.010083,-10.041323,0.000000,0.000000,0.000000,-0.287128,-1.559864,-2.733444,0.000000,0.000000,0.000000,0.253381,0.943513,1.403017,0.169895,0.039195,-0.153518,-1.262606,0.178971,-4.422799,5948060,3,1,0
1752570362.772682,0.587350,0.280615,-9.883342,0.000000,0.000000,0.000000,-0.280069,-1.558269,-2.716707,0.000000,0.000000,0.000000,0.417208,0.516177,1.593360,0.169895,0.039195,-0.153518,-1.196411,0.220650,-4.420348,5948070,3,1,0
1752570362.782682,0.222581,0.455650,-9.725824,0.000000,0.000000,0.000000,-0.275305,-1.555473,-2.699487,0.000000,0.000000,0.000000,0.461340,0.578921,1.532068,0.169895,0.039195,-0.153518,-1.122862,0.306458,-4.422799,5948080,3,1,0
1752570362.792682,0.224513,0.241157,-9.815709,0.000000,0.000000,0.000000,-0.267063,-1.552658,-2.683566,0.000000,0.000000,0.000000,0.451646,1.139920,1.367053,0.169895,0.039195,-0.153518,-1.046860,0.370201,-4.425251,5948090,3,1,0
1752570362.802682,0.567389,-0.059626,-10.019194,0.000000,0.000000,0.000000,-0.252369,-1.550175,-2.669665,0.000000,0.000000,0.000000,0.401856,1.712981,1.243235,0.169895,0.039195,-0.153518,-0.985568,0.426589,-4.430154,5948100,3,1,0
1752570362.812682,0.952893,-0.015029,-10.087716,0.000000,0.000000,0.000000,-0.234622,-1.547770,-2.655568,0.000000,0.000000,0.000000,0.469981,1.625641,1.426106,0.169895,0.039186,-0.153520,-0.973310,0.514849,-4.435058,5948110,3,1,0
1752570362.822682,0.878228,0.263245,-9.996467,0.000000,0.000000,0.000000,-0.221195,-1.544020,-2.638622,0.000000,0.000000,0.000000,0.637438,0.970128,1.673545,0.169895,0.039186,-0.153520,-1.027247,0.603109,-4.444864,5948120,3,1,0
1752570362.832682,0.391246,0.335388,-9.914356,0.000000,0.000000,0.000000,-0.213960,-1.538782,-2.619796,0.000000,0.000000,0.000000,0.744343,0.632005,1.780990,0.169895,0.039186,-0.153520,-1.090990,0.639884,-4.449768,5948130,3,1,0
